"","hgnc_symbol","uniprot_gn_id"
"1","MT-TF",""
"2","MT-RNR1",""
"3","MT-TV",""
"4","MT-RNR2",""
"5","MT-TL1",""
"6","MT-ND1","P03886"
"7","MT-ND1","U5Z754"
"8","MT-TI",""
"9","MT-TQ",""
"10","MT-TM",""
"11","MT-ND2","P03891"
"12","MT-ND2","Q7GXY9"
"13","MT-TW",""
"14","MT-TA",""
"15","MT-TN",""
"16","MT-TC",""
"17","MT-TY",""
"18","MT-CO1","P00395"
"19","MT-CO1","U5YWV7"
"20","MT-TS1",""
"21","MT-TD",""
"22","MT-CO2","P00403"
"23","MT-CO2","U5Z487"
"24","MT-TK",""
"25","MT-ATP8","P03928"
"26","MT-ATP8","U5YV54"
"27","MT-ATP6","P00846"
"28","MT-ATP6","Q0ZFE3"
"29","MT-CO3","P00414"
"30","MT-CO3","Q7GIM7"
"31","MT-TG",""
"32","MT-ND3","P03897"
"33","MT-ND3","Q7GXZ5"
"34","MT-TR",""
"35","MT-ND4L","P03901"
"36","MT-ND4L","Q7GXZ4"
"37","MT-ND4","P03905"
"38","MT-ND4","H9EC08"
"39","MT-TH",""
"40","MT-TS2",""
"41","MT-TL2",""
"42","MT-ND5","P03915"
"43","MT-ND5","U5ZC31"
"44","MT-ND6","P03923"
"45","MT-ND6","U5Z977"
"46","MT-TE",""
"47","MT-CYB","P00156"
"48","MT-CYB","Q0ZFD6"
"49","MT-TT",""
"50","MT-TP",""
"51","LINC02833",""
"52","CDKN1C","P49918"
"53","CDKN1C","A0A0G2JPX0"
"54","CDKN1C","A6NK88"
"55","CDKN1C","A0A0G2JH30"
"56","CDKN1C","A0A2R8YFP9"
"57","KLF13","Q9Y2Y9"
"58","KLF13","X5DNR2"
"59","KLF13","H0YK05"
"60","MPV17L","Q2QL34"
"61","MPV17L","H3BT45"
"62","LINC02287",""
"63","UBE2CP4",""
"64","",""
"65","MARF1","Q9Y4F3"
"66","MARF1","G8JLP4"
"67","MARF1","F8VRS5"
"68","MARF1","F8VVB8"
"69","CNOT3","O75175"
"70","CNOT3","B7Z6J7"
"71","CNOT3","A0A2H2FJL5"
"72","CNOT3","A0A024R4R3"
"73","CNOT3","H7C5J4"
"74","CNOT3","A0A0G2JN65"
"75","CNOT3","A0A0G2JPP0"
"76","CNOT3","H7C148"
"77","CNOT3","H7C3F5"
"78","CNOT3","A0A2R8Y7Z8"
"79","SMIM34B","P0DPE8"
"80","KCNE1B","A0A087WTH5"
"81","KCNE1B","A0A087WWU3"
"82","KCNE1B","A0A087WU88"
"83","CCNB3P1",""
"84","DNAJA3","Q96EY1"
"85","DNAJA3","Q53G26"
"86","DNAJA3","I3L1T6"
"87","DNAJA3","I3L3D3"
"88","DNAJA3","I3L1I6"
"89","DNAJA3","I3L1T9"
"90","LENG1","Q96BZ8"
"91","TTYH1","Q9H313"
"92","TTYH1","E7ET67"
"93","TTYH1","A0A0G2JNF5"
"94","TTYH1","A0A0G2JNU8"
"95","TTYH1","A0A0G2JPK6"
"96","TTYH1","C9J3K6"
"97","TTYH1","F8WBE6"
"98","SNRPEP9",""
"99","CHGA","P10645"
"100","CHGA","G5E968"
"101","CHGA","G3V2Q7"
"102","PDK3","Q15120"
"103","BMERB1","Q96MC5"
"104","BMERB1","H3BUY6"
"105","BMERB1","A0A024QZI8"
"106","BMERB1","H3BP34"
"107","BMERB1","H3BU79"
"108","BMERB1","H3BTT5"
"109","PAXBP1","Q9Y5B6"
"110","PAXBP1","H7BZC8"
"111","PAXBP1","H7C2W4"
"112","FAM86GP",""
"113","CDH9","Q9ULB4"
"114","CDH9","D6RBT9"
"115","CDH9","E7EPN0"
"116","","H3BMD7"
"117","TMC4","Q7Z404"
"118","TMC4","A0A087WXY6"
"119","TMC4","A0A0G2JMP8"
"120","TMC4","A0A0G2JP95"
"121","TMC4","A0A087WT65"
"122","TMC4","A0A0G2JPL6"
"123","TMC4","A0A0G2JMM6"
"124","TMC4","A0A087WVI4"
"125","TMC4","C9JFU4"
"126","RPS3AP39",""
"127","LINC02213",""
"128","PRAME","P78395"
"129","PRAME","E7EW99"
"130","PRAME","E7EMH2"
"131","PRAME","B5MD04"
"132","PRAME","A0A024R1E6"
"133","PRAME","A0A0G2JRX8"
"134","PRAME","A0A0G2JRX7"
"135","PRAME","B5MCY4"
"136","PRAME","F8WF80"
"137","RPS24P14",""
"138","OR2AG2","A6NM03"
"139","OR2AG2","A0A126GWC6"
"140","SNRPCP5",""
"141","HIST1H4PS1",""
"142","OR2AG1","Q9H205"
"143","OR2AG1","A0A126GVD0"
"144","TMEM106B","Q9NUM4"
"145","TMEM106B","C9J998"
"146","TMEM106B","F2Z3N7"
"147","TMEM106B","A0A024R9Z1"
"148","TMEM106B","C9JZ87"
"149","DNAJC27","Q9NZQ0"
"150","GOLGA6L22","H0YM25"
"151","GOLGA6L22","A0A0G2JP21"
"152","GOLGA6L22","A0A0G2JRP8"
"153","GOLGA6L22","A0A087X1J6"
"154","OTUD7A","Q8TE49"
"155","OTUD7A","H0YN66"
"156","OTUD7A","H0YMI7"
"157","C21orf62-AS1",""
"158","GABRA5","P31644"
"159","GABRA5","G3V2G8"
"160","GABRA5","G3V2K2"
"161","GABRA5","G3V296"
"162","GABRA5","G3V2Q9"
"163","GABRA5","G3V408"
"164","IAH1","Q2TAA2"
"165","IAH1","C9JDY4"
"166","IAH1","C9JE02"
"167","IAH1","F8WF34"
"168","IAH1","C9J5J2"
"169","CRYZP1",""
"170","FDPSP4",""
"171","ARMC10","Q8N2F6"
"172","ARMC10","H7C2M7"
"173","ARMC10","A0A0J9YXE4"
"174","ARMC10","A0A0J9YWR7"
"175","ARMC10","C9J5N7"
"176","ARMC10","H7BXQ8"
"177","ARMC10","H7BXM8"
"178","ARMC10","A0A0J9YXV5"
"179","ARMC10","A0A0J9YY38"
"180","DNAJC27-AS1",""
"181","NECAP1P1",""
"182","PURPL",""
"183","TRIM26","Q12899"
"184","TRIM26","A2AE50"
"185","TRIM26","Q5SPU2"
"186","TRIM26","A0A0G2JIW2"
"187","TRIM26","A2AE48"
"188","TRIM26","A0A024RCP3"
"189","GOLGA5P1",""
"190","FYB1","O15117"
"191","FYB1","D6RFJ5"
"192","FYB1","D6RAE8"
"193","FYB1","D6RER7"
"194","FYB1","D6RC38"
"195","C21orf62","H7BYF8"
"196","OR11A1","Q9GZK7"
"197","OR11A1","A0A024RCH9"
"198","OR10C1","Q96KK4"
"199","OR10C1","Q6IFQ5"
"200","OR10C1","A0A087WY02"
"201","OR10C1","A0A126GV80"
"202","OR10C1","A0A0G2JL13"
"203","OR10C1","A0A140T9J0"
"204","OR10C1","A0A140TA55"
"205","NAPEPLD","Q6IQ20"
"206","NAPEPLD","C9JGB1"
"207","SLC23A2","Q9UGH3"
"208","SLC23A2","A0A140VK48"
"209","","A0N0L8"
"210","","A0A096LPE5"
"211","","A0A087X1L8"
"212","OR5V1","Q9UGF6"
"213","OR5V1","A0A126GV99"
"214","OR12D1",""
"215","OR12D3","Q9UGF7"
"216","OR12D3","D2XT27"
"217","OR12D3","A0A0G2JL33"
"218","PAIP1P1",""
"219","GABRB3","P28472"
"220","GABRB3","G3V373"
"221","GABRB3","G3V4W7"
"222","GABRB3","A0A1B0GVW3"
"223","GABRB3","X5DQY4"
"224","GABRB3","F5H7N0"
"225","OR12D2","P58182"
"226","OR12D2","A0A126GV87"
"227","OR12D2","A0A140T9F1"
"228","OR12D2","A0A140T931"
"229","OR6A2","O95222"
"230","OR6A2","A0A126GW91"
"231","ADAM17","P78536"
"232","ADAM17","B2RNB2"
"233","ADAM17","A0A3B3ITW9"
"234","ADAM17","A6H8L4"
"235","ADAM17","A0A3B3IST4"
"236","ADAM17","A0A3B3ITB5"
"237","ADAM17","A0A3B3ISQ1"
"238","NME8","Q8N427"
"239","NME8","F8WEA2"
"240","NME8","C9JG62"
"241","NME8","C9JIT0"
"242","ZNF214","Q9UL59"
"243","GATD3B","A0A0B4J2D5"
"244","GATD3B","A0A096LP12"
"245","GATD3B","A0A0B4J2H4"
"246","GATD3B","A0A096LNH5"
"247","GATD3B","A0A096LP57"
"248","OR2D3","Q8NGH3"
"249","SLC22A18","Q96BI1"
"250","SLC22A18","A0A024RCG2"
"251","SLC22A18","A0A0J9YXN9"
"252","SLC22A18","A0A0J9YWM3"
"253","SLC22A18","E9PRM7"
"254","SLC22A18","E9PMN7"
"255","ZNF215","Q9UL58"
"256","ZNF215","B4DYW9"
"257","ZNF215","A0A1B0GV37"
"258","LINC02103",""
"259","GPR141BP",""
"260","DUOXA1","Q1HG43"
"261","DUOXA1","B5M0B8"
"262","DUOXA1","B5M0C0"
"263","DUOXA1","A8K9Q6"
"264","DUOXA1","B5M0B7"
"265","DUOXA1","H0YLQ4"
"266","DUOXA1","H0YMZ8"
"267","DUOXA1","H0YNR1"
"268","DUOXA1","H0YKF3"
"269","SFRP4","Q6FHJ7"
"270","SFRP4","C9JMJ2"
"271","OR10A5","Q9H207"
"272","OR10A5","A0A126GWR0"
"273","OR2D2","Q9H210"
"274","OR2D2","A0A126GVN9"
"275","LSP1P3",""
"276","OR10A4","Q9H209"
"277","LINC02109",""
"278","OR10A2","Q9H208"
"279","EPDR1","Q9UM22"
"280","EPDR1","D6RIH7"
"281","","A0A0B4J2E5"
"282","","A0A0J9YX21"
"283","SUMO2P13",""
"284","SLC22A18AS","Q8N1D0"
"285","HIST1H2BL","Q99880"
"286","FAM8A1","Q9UBU6"
"287","FAM8A1","A0A024R006"
"288","HIST1H2AI","P0C0S8"
"289","HIST1H2AI","A4FTV9"
"290","HERC2P7",""
"291","HNRNPLP2",""
"292","HIST1H3H","P68431"
"293","GPR141","Q7Z602"
"294","GPR141","C9JDP7"
"295","SUCLG2P4",""
"296","AKAP17A","Q02040"
"297","AKAP17A","X6RAJ1"
"298","AK3P3",""
"299","HIST1H1B","P16401"
"300","KLHL7","Q8IXQ5"
"301","KLHL7","H7C259"
"302","KLHL7","E5RFN1"
"303","HIST1H2AL","P0C0S8"
"304","HIST1H2AL","A4FTV9"
"305","VWDE","Q8N2E2"
"306","VWDE","A0A2R8YEP3"
"307","VWDE","A0A087WXZ2"
"308","VWDE","A0A0C4DH13"
"309","VWDE","E5RG96"
"310","VWDE","J3KQJ9"
"311","RGN","Q15493"
"312","RGN","V9HWF8"
"313","HIST1H4K","P62805"
"314","HIST1H4K","B2R4R0"
"315","ITPK1-AS1",""
"316","HIST1H3I","P68431"
"317","ITPK1","Q13572"
"318","ITPK1","A0A024R6H3"
"319","ITPK1","G3V5A3"
"320","ITPK1","G3V4M9"
"321","ITPK1","G3V588"
"322","ITPK1","G3V3C0"
"323","HIST1H2AK","P0C0S8"
"324","HIST1H2AK","A4FTV9"
"325","HIST1H2BPS2",""
"326","HIST1H2BM","Q99879"
"327","CPXM1","Q96SM3"
"328","PPP4R4","Q6NUP7"
"329","PPP4R4","G3V516"
"330","PPP4R4","G3V422"
"331","PPP4R4","G3V431"
"332","HIST1H2AM","P0C0S8"
"333","HIST1H2AM","A4FTV9"
"334","HIST1H4J","P62805"
"335","HIST1H4J","B2R4R0"
"336","HIST1H3J","P68431"
"337","HIST1H4L","P62805"
"338","HIST1H4L","B2R4R0"
"339","HIST1H2AJ","Q99878"
"340","HIST1H2BN","Q99877"
"341","HIST1H2BN","U3KQK0"
"342","HIST1H2BN","A0A024RCJ9"
"343","SHF","Q7M4L6"
"344","SHF","F8W6V4"
"345","SHF","H0YNF2"
"346","SHF","H0YLM1"
"347","SHF","H0YLW6"
"348","SHF","H0YLD8"
"349","ITPRID1","Q6ZRS4"
"350","ITPRID1","E7ERG9"
"351","ITPRID1","B8ZZ49"
"352","ITPRID1","A0A087WUB1"
"353","ITPRID1","E7EQ43"
"354","IGLV2-34",""
"355","HERC2P2",""
"356","CDK7","P50613"
"357","CDK7","D6RAD4"
"358","CDK7","D6R9Z2"
"359","CDK7","D6RIG9"
"360","CDK7","D6RGG9"
"361","CDK7","D6RFL0"
"362","CDK7","D6REC6"
"363","CDK7","D6RI01"
"364","CDK7","D6RF14"
"365","CDK7","D6R9G1"
"366","CDK7","A0A0S2Z3F9"
"367","CGREF1","Q99674"
"368","CGREF1","F8WE80"
"369","IGLV2-33","A0A075B6J2"
"370","DLGAP4-AS1",""
"371","OR7E117P",""
"372","FSCN1P1",""
"373","DUOXA2","Q1HG44"
"374","NMRAL1","Q9HBL8"
"375","NMRAL1","I3L3Z0"
"376","NMRAL1","I3L2U0"
"377","NMRAL1","I3L1Y8"
"378","NMRAL1","I3L1Q7"
"379","NMRAL1","A0A384P622"
"380","NMRAL1","I3L0Y6"
"381","NMRAL1","I3L543"
"382","OR2H1","Q9GZK4"
"383","OR2H1","A0A024RCM6"
"384","MYL9","P24844"
"385","TRPC2",""
"386","IGLV3-32","A0A0A0MS00"
"387","IGLV3-31",""
"388","IGLV3-30",""
"389","KHK","P50053"
"390","KHK","C9JDL1"
"391","MRPS16P3",""
"392","DUOX2","Q9NRD8"
"393","DUOX2","X6RAN8"
"394","RPAP1","Q9BWH6"
"395","RPAP1","H3BRE8"
"396","RPAP1","H3BPM3"
"397","RPAP1","H3BPY8"
"398","RPAP1","H3BTJ6"
